"adr_inter","adresse","adrzus_int","behindertenparkplatz","bemerkung","ccmail","da","datum","datum_cms","dep","editor","erforderlichedokumente","fax","hausnummer","hindernisfreiheit","infrastruktur","isbetriebsferien_gebaeude","isbetriebsferien_schalter","kategorie","mail","name","namenzus","objectid","oeffnungszeiten_gebaeude_di","oeffnungszeiten_gebaeude_do","oeffnungszeiten_gebaeude_fr","oeffnungszeiten_gebaeude_mi","oeffnungszeiten_gebaeude_mo","oeffnungszeiten_gebaeude_sa","oeffnungszeiten_gebaeude_so","oeffnungszeiten_schalter_di","oeffnungszeiten_schalter_do","oeffnungszeiten_schalter_fr","oeffnungszeiten_schalter_mi","oeffnungszeiten_schalter_mo","oeffnungszeiten_schalter_sa","oeffnungszeiten_schalter_so","ort","plz","poi_id","postadresse","publish_internet","strasse","suchen","tel","tel2","www","zahlungsmittel_internet","zahlungsmittel_schalter","zahlungsmittel_telefon","zvv_label","zvv_link","link_pls","anzahl_oeffentliche_pp","id","davon_behinderten_pp","davon_elektro_pp","davon_frauen_pp","davon_klein_pp","anzahl_mobility_pp","geometry"
"","Tobelhofstrasse 23","","1","","","","10.12.2023 01:37","","","","","","","","","","","Parkhaus","","Tobelhofstrasse","","10000321","","","","","","","","","","","","","","","","","ph10000321","","","","","","","","","","","","","","22","10000321","1","0","0","0","0","POINT (2685472.5 1248010.4)"
"","Förrlibuckstrasse 113","","2","","","","10.12.2023 01:37","","","","","","","","","","","Parkhaus","","Toni-Areal","","10000516","","","","","","","","","","","","","","","","","ph10000516","","","","","","","","","","","","","","92","10000516","2","0","0","0","0","POINT (2681095 1249561.6)"
"","Frauenklinikstrasse 10","","4","","","","10.12.2023 01:37","","","","","","","","","","","Parkhaus","","Unispital Nord","","1412","","","","","","","","","","","","","","","","","ph1412","","","","","","","","","","","","","https://www.pls-zh.ch/parkhaus/unispital_nord.jsp?pid=unispital_nord","104","1412","4","0","0","0","0","POINT (2683910.2 1248157.5)"
"","Winterthurerstrasse 181","","9","","","","10.12.2023 01:37","","","","","","","","","","","Parkhaus","","Universität Irchel","","18","","","","","","","","","","","","","","","","","ph018","","","","","","","","","","","","","https://www.pls-zh.ch/parkhaus/uni_irchel.jsp?pid=uni_irchel","755","18","9","0","0","0","0","POINT (2683633.2 1250294.1)"
"","Uraniastrasse 3","","1","","","","10.12.2023 01:37","","","","","","","","","","","Parkhaus","","Urania","","24","","","","","","","","","","","","","","","","","ph024","","","","","","","","","","","","","https://www.pls-zh.ch/parkhaus/urania.jsp?pid=urania","480","24","1","3","0","1","0","POINT (2683236.2 1247643.6)"
"","Färberstrasse 6","","0","","","","10.12.2023 01:37","","","","","","","","","","","Parkhaus","","Utoquai","","48","","","","","","","","","","","","","","","","","ph048","","","","","","","","","","","","","https://www.pls-zh.ch/parkhaus/utoquai.jsp?pid=utoquai","153","48","0","4","0","0","0","POINT (2683843.2 1246247)"
"","Vorderberg 3","","0","","","","10.12.2023 01:37","","","","","","","","","","","Parkhaus","","Vorderberg","","10000417","","","","","","","","","","","","","","","","","ph10000417","","","","","","","","","","","","","","20","10000417","0","0","0","0","0","POINT (2684595 1247866.5)"
"","Wallisellenstrasse 335","","1","","","","10.12.2023 01:37","","","","","","","","","","","Parkhaus","","Wallisellenstrasse","","10000457","","","","","","","","","","","","","","","","","ph10000457","","","","","","","","","","","","","","42","10000457","1","0","0","0","0","POINT (2684800.5 1251773)"
"","Pfingstweidstrasse 60b","","1","","","","10.12.2023 01:37","","","","","","","","","","","Parkhaus","","West-Park","","10000468","","","","","","","","","","","","","","","","","ph10000468","","","","","","","","","","","","","","38","10000468","1","0","0","0","0","POINT (2681302.8 1249417.8)"
"","Leutschenbachstrasse 77","","2","","","","10.12.2023 01:37","","","","","","","","","","","Parkhaus","","World Trade Center","","10000459","","","","","","","","","","","","","","","","","ph10000459","","","","","","","","","","","","","","227","10000459","2","0","0","0","0","POINT (2684491.5 1252473.1)"
