"id","lokalisationsname","temporegime","temporegime_technical","umgesetzt_datum","rechtskraeftig_datum","publiziert_vsi_datum","ausnahmen_fahrverbot","fahrverbot_ssv","objectid","geometry"
"1489","Hofwiesenstrasse","T50","T50","","","","","","2837","LINESTRING (2683043.2 1249584.2,2683034.8 1249600.6,2683022.2 1249633.1,2683011 1249667.4,2683000.8 1249698.1,2682977.2 1249750.4,2682967.8 1249773.5,2682958.2 1249796,2682932.2 1249852.9,2682926.2 1249864.6,2682917 1249878.1,2682907.2 1249891,2682896.8 1249903.4,2682888.8 1249911.4,2682852 1249948.2,2682746.5 1250050.6,2682731 1250066.9,2682715 1250085.6,2682700.8 1250105.9,2682688.8 1250127.5,2682683.2 1250139.9,2682678.2 1250152.5,2682674 1250165.4,2682657.5 1250239.1)"
"1689","Hamamelisweg","Fahrverbot","T0","","","","","","2852","LINESTRING (2683124 1250789.4,2683149.5 1250815.4,2683149.8 1250815.5,2683150 1250815.8,2683150 1250815.9,2683150.2 1250816.1,2683150.2 1250816.4,2683150.2 1250816.6,2683150.5 1250816.8,2683153.8 1250830.1,2683154 1250830.4,2683154 1250830.6,2683154.2 1250830.9,2683154.5 1250831.1,2683154.5 1250831.2,2683154.8 1250831.5,2683155 1250831.6,2683159.2 1250834.9,2683159.5 1250834.9,2683159.5 1250835,2683159.5 1250835.1,2683159.8 1250835.2,2683159.8 1250835.4,2683159.8 1250835.5,2683159.8 1250835.6,2683159.8 1250835.8,2683160 1250835.9,2683160 1250836,2683159.8 1250836.1,2683159.8 1250836.2,2683160.2 1250850.4,2683160.2 1250850.9,2683160.2 1250851.2,2683160 1250851.6,2683160 1250852,2683159.8 1250852.4,2683151.2 1250868.5,2683150.8 1250869.2,2683150.5 1250870,2683150.5 1250870.8,2683150.2 1250871.6,2683150.2 1250872.4,2683150.2 1250873.1,2683150.5 1250874,2683150.8 1250874.8,2683151 1250875.5,2683151.2 1250876.2,2683151.5 1250876.9,2683152 1250877.6,2683152.5 1250878.2,2683153 1250878.8,2683153.8 1250879.2,2683154.2 1250879.8,2683155 1250880.2,2683189.5 1250903.8,2683210.2 1250919.2,2683229.2 1250933.1,2683233.5 1250931.8,2683239.8 1250930.2,2683248 1250935.6,2683255.5 1250941.8,2683262.5 1250948.6,2683277.5 1250964.9,2683284.2 1250971.1,2683291.5 1250977,2683299 1250982.5,2683301.8 1250984.1,2683304.5 1250985.6,2683307.5 1250986.9)"
"1711","Milchbuckstrasse","T30","T30","","","","","","2919","LINESTRING (2683225.2 1249904.6,2683228.8 1249900.4,2683277.8 1249842.5,2683279 1249841,2683280.5 1249839.5,2683282 1249838.2,2683283.8 1249837.1,2683285.8 1249836.1,2683287.5 1249835.4,2683291.8 1249833.6,2683296.2 1249832.1,2683300.5 1249831,2683305.2 1249830.2,2683399.2 1249825.6,2683464.5 1249823.2)"
"2325","A1L","T60","T60","","","","","","2941","LINESTRING (2683800.2 1250526,2683784.2 1250515.5,2683769.2 1250503.8,2683755.2 1250490.6,2683742.5 1250476.4,2683731.2 1250461)"
"2383","Schürbungert","Fahrverbot","T0","","","","","","2948","LINESTRING (2683036.8 1250671.1,2683039.2 1250674.2,2683066.2 1250693.6,2683112 1250723.2,2683114 1250724.6)"
"1887","Buchmattweg","Fahrverbot","T0","","","","","","2962","LINESTRING (2683184.2 1250074,2683137.8 1250093,2683093.5 1250125.2)"
"1897","Häderlihof","Fahrverbot","T0","","","","","","2969","LINESTRING (2683167 1250285.8,2683200 1250308.1,2683208.5 1250295.4,2683175.5 1250274.5,2683167 1250285.8,2683161.2 1250282.9,2683131.2 1250263)"
"871","Grebelackerstrasse","T30","T30","","","","","","2988","LINESTRING (2682943 1250545.4,2682891 1250511.8,2682867.2 1250494.1,2682856.5 1250485.4,2682846.8 1250475.8,2682837.5 1250465.4,2682829.2 1250454.2,2682826.5 1250450.5,2682823.8 1250446.6,2682821.5 1250442.5,2682819.8 1250438.1,2682818.2 1250433.6,2682817 1250429,2682816.5 1250424.4,2682816.2 1250419.6,2682816.2 1250415,2682816.8 1250410.2,2682817.8 1250405.6,2682819.2 1250401.1,2682821 1250396.8,2682823 1250392.5,2682825.5 1250388.5,2682828.2 1250384.8,2682855.8 1250351,2682860 1250345.4,2682864 1250339.4,2682867.2 1250333,2682870 1250326.5,2682872.5 1250319.8,2682881.8 1250288.5)"
"1112","Guggachstrasse","T30","T30","","","","","","2993","LINESTRING (2683149.8 1249991.6,2683126.8 1250010.1,2683067 1250055.6,2683052.5 1250066.5,2682977.2 1250119.4,2682964.8 1250128.1,2682935.5 1250149.2,2682889.5 1250182.4,2682825.8 1250231.1,2682801.8 1250250.5,2682790.8 1250262)"
"1115","Langackerstrasse","T30","T30","","","","","","2994","LINESTRING (2682978.2 1250319.4,2682976.2 1250325.6,2682945.5 1250385.2,2682909 1250441.6,2682867.2 1250494.1)"
"1118","Steinkluppenweg","T30","T30","","","","","","2996","LINESTRING (2683347 1250450,2683327.8 1250460.2,2683313 1250475.5,2683285.2 1250499.9,2683283 1250502,2683281 1250504.1)"
"1535","Bülachstrasse","T50","T50","","","","","","3065","LINESTRING (2683781.8 1250573,2683770 1250617.5,2683750 1250690,2683745 1250707.6,2683742.5 1250718.8,2683740.2 1250730,2683738.5 1250741.2,2683729.5 1250791.4,2683727.5 1250811,2683727 1250830.8,2683728 1250850.5,2683730.5 1250857.6,2683733.5 1250864.5,2683736.8 1250871.4)"
"1268","Probusweg","T30","T30","","","","","","3075","LINESTRING (2683729.5 1250791.4,2683745.5 1250787.2,2683776.5 1250770.2,2683810.5 1250751.5,2683819.8 1250746.1,2683831.2 1250739.4,2683839 1250734.4,2683848.2 1250728.1,2683860.5 1250719.5,2683874 1250709.4)"
"1271","Zeppelinstrasse","T30","T30","","","","","","3077","LINESTRING (2682855.8 1250053,2682816.5 1250081.5,2682768.5 1250116.5,2682741.8 1250136,2682740 1250137.4,2682738 1250138.6,2682736 1250139.6,2682733.8 1250140.5,2682731.5 1250141.2,2682729.2 1250141.8,2682727 1250142,2682724.8 1250142.1,2682722.5 1250142.1,2682720 1250141.9,2682717.8 1250141.4,2682701 1250137.2,2682688.8 1250127.5)"
"1170","Langensteinenstrasse","T30","T30","","","","","","3084","LINESTRING (2683554.5 1250049.1,2683571.8 1250043.9,2683584.8 1250039.2,2683589 1250037,2683593.2 1250034.2,2683597 1250031.4,2683600.8 1250028,2683604 1250024.5,2683607 1250020.6,2683609.8 1250016.5,2683612 1250012.2,2683623 1249987.1,2683627.2 1249977.4,2683691.2 1249830.8,2683692 1249829,2683692.8 1249827.2,2683693.5 1249825.6,2683706.5 1249799.5,2683722.2 1249774.9,2683740.2 1249751.9,2683760.2 1249730.6,2683838 1249658.1)"
"1815","Oerlikonerstrasse","T30","T30","","","","","","3098","LINESTRING (2683347 1250450,2683344.8 1250467.9,2683370 1250516.9,2683418.8 1250615.8,2683445 1250665.1,2683466.5 1250707,2683508 1250784.9,2683529 1250828.5,2683533.8 1250840.9,2683538.8 1250853.4,2683543.5 1250865.8,2683574.5 1250944.4,2683592.8 1250994.6,2683627.2 1251082,2683634.2 1251101.4,2683669.8 1251192.1,2683670.8 1251197.9,2683669.8 1251203.4,2683671.2 1251207.2,2683672.5 1251211.4,2683673.2 1251215.5,2683673.8 1251219.8,2683673.8 1251224,2683673.5 1251228.1,2683673.2 1251230.4,2683673 1251232.5,2683672.5 1251234.8,2683653.2 1251317.8)"
"726","Viktoriastrasse","T30","T30","","","","","","3143","LINESTRING (2683931.5 1250655.6,2683931.5 1250664.4,2683927 1250696.1,2683922.5 1250747.2,2683922 1250785.5,2683925.2 1250823.8,2683930.5 1250871.6,2683933.5 1250899.9,2683936.8 1250935.5,2683939.5 1250965.9,2683940.8 1250978.1,2683943.5 1251015.5,2683945.8 1251032.2,2683947.2 1251047.2,2683949.5 1251079.1,2683953.2 1251109.6,2683957.8 1251124.9,2683993.2 1251237.4)"
"5230","Hirschgartnerweg","T20","T20","20230912000000","20230709000000","","","","3212","LINESTRING (2683505.2 1250622.9,2683534 1250593.6,2683536.8 1250591.5,2683539.8 1250589.8,2683542.8 1250588.1,2683546 1250586.9,2683549.5 1250585.9,2683553 1250585.1,2683556.2 1250584.8,2683559.8 1250584.6,2683563.2 1250584.8,2683566.8 1250585.2,2683570.2 1250586,2683573.5 1250587.1,2683576.8 1250588.5,2683580 1250590.1,2683626.5 1250616.5)"
"2080","Spelteriniweg","Fahrverbot","T0","","","","","","3828","LINESTRING (2682900 1250015.2,2682907.8 1250022.9,2682977.2 1250119.4)"
"1433","Rosmarinweg","Fahrverbot","T0","","","","","","3299","LINESTRING (2683930.5 1250871.6,2683855.2 1250879.1,2683840 1250885.5,2683814.2 1250900.9,2683791.2 1250927.1)"
"2471","Hofwiesenstrasse","T50","T50","","","","","","3348","LINESTRING (2682628.5 1250359.4,2682627.2 1250378.6,2682627.5 1250397.9,2682629.2 1250417.1,2682632.8 1250436.1,2682638 1250454.8,2682644.8 1250472.8,2682653 1250490.2,2682685.5 1250560,2682718 1250629.5,2682722.5 1250639.1,2682743.8 1250682.6,2682768.5 1250724,2682796.8 1250763.1,2682813 1250781.4,2682827.8 1250800.6,2682841.2 1250821,2682850.2 1250836.8,2682858.5 1250853,2682865.8 1250869.5,2682886.5 1250924.9,2682949 1251128.4,2682974.2 1251212.5,2682976.2 1251219.2,2682999.2 1251287.5,2683014 1251335.4,2683017.8 1251345.6,2683021.5 1251355.8,2683025.2 1251365.9,2683028.5 1251374.1,2683031.8 1251382.4,2683035 1251390.6,2683044.2 1251411.2,2683054.5 1251431.4,2683065.2 1251451.2,2683073.8 1251464,2683083.2 1251476.1,2683093.2 1251487.8,2683101.8 1251496.6,2683110.8 1251505.1,2683120.2 1251513.2,2683156 1251545.1,2683168.5 1251556.1,2683216 1251598.4,2683276.5 1251647.4,2683356.8 1251702.1,2683360.8 1251705,2683364.8 1251707.9,2683368.8 1251710.6)"
